"tick","FlagC"
1.0,24
2.0,24
3.0,23
4.0,23
5.0,23
6.0,22
7.0,22
8.0,22
9.0,21
10.0,21
11.0,21
12.0,21
13.0,21
14.0,20
15.0,20
16.0,20
17.0,19
18.0,19
19.0,19
20.0,19
21.0,19
22.0,19
23.0,19
24.0,19
25.0,19
26.0,19
27.0,19
28.0,19
29.0,19
30.0,19
31.0,18
32.0,18
33.0,17
34.0,17
35.0,17
36.0,17
37.0,17
38.0,17
39.0,17
40.0,17
41.0,16
42.0,16
43.0,16
44.0,16
45.0,16
46.0,16
47.0,15
48.0,15
49.0,15
50.0,15
51.0,15
52.0,14
53.0,14
54.0,14
55.0,14
56.0,14
57.0,14
58.0,14
59.0,14
60.0,14
61.0,14
62.0,14
63.0,13
64.0,13
65.0,13
66.0,13
67.0,13
68.0,13
69.0,12
70.0,12
71.0,12
72.0,12
73.0,12
74.0,12
75.0,12
76.0,12
77.0,12
78.0,12
79.0,12
80.0,12
81.0,12
82.0,12
83.0,12
84.0,12
85.0,11
86.0,11
87.0,11
88.0,11
89.0,11
90.0,11
91.0,11
92.0,11
93.0,11
94.0,11
95.0,11
96.0,11
97.0,11
98.0,11
99.0,11
100.0,11
101.0,11
102.0,11
103.0,11
104.0,11
105.0,11
106.0,11
107.0,11
108.0,11
109.0,11
110.0,11
111.0,11
112.0,11
113.0,11
114.0,11
115.0,10
116.0,10
117.0,10
118.0,10
119.0,10
120.0,10
121.0,10
122.0,10
123.0,9
124.0,9
125.0,9
126.0,9
127.0,9
128.0,9
129.0,9
130.0,9
131.0,9
132.0,9
133.0,9
134.0,9
135.0,9
136.0,8
137.0,8
138.0,8
139.0,8
140.0,8
141.0,8
142.0,8
143.0,8
144.0,8
145.0,8
146.0,8
147.0,8
148.0,8
149.0,8
150.0,8
151.0,8
152.0,8
153.0,8
154.0,8
155.0,8
156.0,8
157.0,8
158.0,8
159.0,8
160.0,8
161.0,8
162.0,8
163.0,8
164.0,8
165.0,8
166.0,7
167.0,7
168.0,7
169.0,7
170.0,7
171.0,6
172.0,6
173.0,6
174.0,6
175.0,6
176.0,6
177.0,6
178.0,6
179.0,5
180.0,5
181.0,5
182.0,5
183.0,5
184.0,5
185.0,5
186.0,5
187.0,5
188.0,5
189.0,5
190.0,5
191.0,5
192.0,5
193.0,5
194.0,5
195.0,5
196.0,5
197.0,5
198.0,5
199.0,5
200.0,5
201.0,5
202.0,5
203.0,5
204.0,5
205.0,5
206.0,5
207.0,5
208.0,5
209.0,4
210.0,4
211.0,4
212.0,4
213.0,4
214.0,4
215.0,4
216.0,4
217.0,4
218.0,4
219.0,4
220.0,4
221.0,4
222.0,4
223.0,4
224.0,4
225.0,3
226.0,3
227.0,3
228.0,3
229.0,3
230.0,3
231.0,3
232.0,3
233.0,3
234.0,3
235.0,3
236.0,2
237.0,2
238.0,2
239.0,2
240.0,2
241.0,2
242.0,1
243.0,1
244.0,1
245.0,1
246.0,1
247.0,1
248.0,1
249.0,1
250.0,1
251.0,1
252.0,1
253.0,1
254.0,1
255.0,1
256.0,1
257.0,1
258.0,1
259.0,1
260.0,1
261.0,1
262.0,1
263.0,1
264.0,1
265.0,1
266.0,1
267.0,1
268.0,1
269.0,1
270.0,1
271.0,1
272.0,1
273.0,1
274.0,1
275.0,1
276.0,1
277.0,1
278.0,1
279.0,1
280.0,1
281.0,1
282.0,1
283.0,1
284.0,1
285.0,1
286.0,1
287.0,0
