"tick","FlagC"
1.0,25
2.0,25
3.0,25
4.0,25
5.0,24
6.0,23
7.0,23
8.0,23
9.0,23
10.0,23
11.0,23
12.0,22
13.0,22
14.0,22
15.0,22
16.0,22
17.0,21
18.0,19
19.0,19
20.0,19
21.0,19
22.0,19
23.0,19
24.0,19
25.0,18
26.0,18
27.0,18
28.0,18
29.0,17
30.0,17
31.0,17
32.0,17
33.0,17
34.0,17
35.0,17
36.0,17
37.0,17
38.0,17
39.0,16
40.0,16
41.0,16
42.0,16
43.0,16
44.0,16
45.0,16
46.0,16
47.0,16
48.0,16
49.0,16
50.0,16
51.0,16
52.0,15
53.0,15
54.0,14
55.0,14
56.0,14
57.0,13
58.0,13
59.0,13
60.0,13
61.0,13
62.0,12
63.0,12
64.0,12
65.0,12
66.0,12
67.0,12
68.0,12
69.0,12
70.0,12
71.0,11
72.0,11
73.0,11
74.0,11
75.0,11
76.0,11
77.0,11
78.0,11
79.0,11
80.0,11
81.0,11
82.0,11
83.0,11
84.0,11
85.0,11
86.0,11
87.0,11
88.0,11
89.0,11
90.0,11
91.0,11
92.0,11
93.0,11
94.0,11
95.0,10
96.0,10
97.0,10
98.0,10
99.0,9
100.0,9
101.0,9
102.0,9
103.0,9
104.0,9
105.0,9
106.0,9
107.0,9
108.0,9
109.0,9
110.0,9
111.0,9
112.0,9
113.0,9
114.0,9
115.0,9
116.0,9
117.0,9
118.0,9
119.0,9
120.0,9
121.0,9
122.0,9
123.0,9
124.0,9
125.0,9
126.0,9
127.0,9
128.0,9
129.0,9
130.0,9
131.0,9
132.0,9
133.0,9
134.0,9
135.0,9
136.0,9
137.0,9
138.0,9
139.0,9
140.0,9
141.0,9
142.0,9
143.0,9
144.0,9
145.0,9
146.0,8
147.0,8
148.0,8
149.0,8
150.0,8
151.0,8
152.0,8
153.0,8
154.0,8
155.0,8
156.0,8
157.0,8
158.0,8
159.0,7
160.0,7
161.0,7
162.0,7
163.0,7
164.0,7
165.0,7
166.0,7
167.0,7
168.0,7
169.0,7
170.0,7
171.0,7
172.0,7
173.0,7
174.0,6
175.0,6
176.0,6
177.0,6
178.0,6
179.0,6
180.0,6
181.0,6
182.0,6
183.0,6
184.0,6
185.0,6
186.0,6
187.0,6
188.0,6
189.0,6
190.0,6
191.0,6
192.0,6
193.0,6
194.0,6
195.0,6
196.0,6
197.0,6
198.0,6
199.0,6
200.0,6
201.0,6
202.0,6
203.0,6
204.0,6
205.0,6
206.0,6
207.0,6
208.0,6
209.0,6
210.0,6
211.0,5
212.0,5
213.0,5
214.0,5
215.0,5
216.0,5
217.0,5
218.0,5
219.0,5
220.0,5
221.0,5
222.0,5
223.0,5
224.0,5
225.0,5
226.0,5
227.0,5
228.0,5
229.0,5
230.0,5
231.0,5
232.0,5
233.0,5
234.0,5
