"tick","FlagC"
1.0,24
2.0,24
3.0,23
4.0,23
5.0,23
6.0,23
7.0,22
8.0,21
9.0,21
10.0,21
11.0,21
12.0,21
13.0,21
14.0,21
15.0,21
16.0,21
17.0,21
18.0,21
19.0,21
20.0,20
21.0,20
22.0,19
23.0,19
24.0,19
25.0,19
26.0,19
27.0,19
28.0,18
29.0,18
30.0,18
31.0,18
32.0,18
33.0,18
34.0,18
35.0,18
36.0,18
37.0,18
38.0,18
39.0,17
40.0,16
41.0,16
42.0,16
43.0,16
44.0,16
45.0,16
46.0,16
47.0,16
48.0,16
49.0,16
50.0,16
51.0,16
52.0,16
53.0,16
54.0,15
55.0,15
56.0,15
57.0,15
58.0,15
59.0,15
60.0,15
61.0,15
62.0,15
63.0,15
64.0,15
65.0,15
66.0,15
67.0,15
68.0,15
69.0,15
70.0,15
71.0,15
72.0,14
73.0,14
74.0,14
75.0,14
76.0,14
77.0,14
78.0,14
79.0,14
80.0,14
81.0,14
82.0,13
83.0,13
84.0,12
85.0,12
86.0,12
87.0,12
88.0,12
89.0,12
90.0,12
91.0,11
92.0,11
93.0,11
94.0,11
95.0,10
96.0,10
97.0,9
98.0,9
99.0,9
100.0,9
101.0,8
102.0,8
103.0,8
104.0,8
105.0,8
106.0,8
107.0,8
108.0,8
109.0,8
110.0,8
111.0,8
112.0,8
113.0,8
114.0,8
115.0,8
116.0,8
117.0,8
118.0,8
119.0,7
120.0,7
121.0,7
122.0,7
123.0,7
124.0,7
125.0,7
126.0,7
127.0,7
128.0,7
129.0,7
130.0,7
131.0,7
132.0,7
133.0,7
134.0,7
135.0,7
136.0,7
137.0,7
138.0,7
139.0,7
140.0,7
141.0,7
142.0,7
143.0,7
144.0,7
145.0,7
146.0,7
147.0,7
148.0,7
149.0,7
150.0,7
151.0,7
152.0,7
153.0,7
154.0,7
155.0,7
156.0,7
157.0,7
158.0,7
159.0,7
160.0,7
161.0,7
162.0,7
163.0,7
164.0,7
165.0,7
166.0,7
167.0,7
168.0,7
169.0,7
170.0,7
171.0,7
172.0,7
173.0,7
174.0,7
175.0,7
176.0,7
177.0,7
178.0,7
179.0,7
180.0,7
181.0,7
182.0,7
183.0,6
184.0,6
185.0,6
186.0,6
187.0,6
188.0,6
189.0,6
190.0,6
191.0,6
192.0,6
193.0,6
194.0,6
195.0,6
196.0,6
197.0,6
198.0,5
199.0,5
200.0,5
201.0,5
202.0,5
203.0,5
204.0,5
205.0,5
206.0,5
207.0,5
208.0,5
209.0,5
210.0,5
211.0,5
212.0,5
213.0,5
214.0,5
215.0,5
216.0,5
217.0,5
218.0,5
219.0,5
220.0,5
221.0,5
222.0,5
223.0,5
224.0,5
225.0,5
226.0,5
227.0,5
228.0,5
229.0,5
230.0,5
231.0,5
232.0,5
233.0,5
234.0,5
235.0,5
236.0,5
237.0,5
238.0,5
239.0,5
240.0,5
241.0,5
242.0,5
243.0,5
244.0,5
245.0,5
246.0,5
247.0,5
248.0,5
249.0,5
250.0,5
251.0,5
252.0,5
253.0,5
254.0,5
255.0,5
256.0,5
257.0,5
258.0,5
259.0,5
260.0,5
261.0,4
262.0,4
263.0,4
264.0,4
265.0,4
266.0,4
267.0,4
268.0,4
269.0,4
270.0,4
271.0,4
272.0,4
273.0,4
274.0,4
275.0,4
276.0,4
277.0,4
278.0,4
279.0,4
280.0,4
281.0,4
282.0,4
283.0,4
284.0,4
285.0,3
286.0,3
287.0,3
288.0,3
289.0,3
290.0,3
291.0,3
292.0,3
293.0,3
294.0,3
295.0,3
296.0,3
297.0,3
298.0,3
299.0,3
300.0,3
301.0,3
302.0,3
303.0,2
304.0,2
305.0,2
306.0,2
307.0,2
308.0,2
309.0,2
310.0,2
311.0,2
312.0,2
313.0,2
314.0,2
315.0,2
316.0,2
317.0,2
318.0,2
319.0,2
320.0,2
321.0,2
322.0,2
323.0,2
324.0,2
325.0,2
326.0,2
327.0,2
328.0,2
329.0,2
330.0,2
331.0,2
332.0,2
333.0,2
334.0,2
335.0,2
336.0,2
337.0,2
338.0,2
339.0,2
340.0,2
341.0,2
342.0,1
343.0,1
344.0,1
345.0,1
346.0,1
347.0,1
348.0,1
349.0,1
350.0,1
351.0,1
352.0,1
353.0,1
354.0,1
355.0,1
356.0,1
357.0,1
358.0,1
359.0,1
360.0,1
361.0,1
362.0,1
363.0,1
364.0,1
365.0,1
366.0,1
367.0,1
368.0,1
369.0,1
370.0,1
371.0,1
372.0,1
373.0,1
374.0,1
375.0,1
376.0,1
377.0,1
378.0,1
379.0,1
380.0,1
381.0,1
382.0,1
383.0,1
384.0,1
385.0,1
386.0,1
387.0,1
388.0,1
389.0,1
390.0,1
391.0,1
392.0,1
393.0,1
394.0,1
395.0,1
396.0,1
397.0,1
398.0,1
399.0,1
400.0,1
401.0,1
402.0,1
403.0,1
404.0,1
405.0,1
406.0,1
407.0,1
408.0,1
409.0,1
410.0,1
411.0,1
412.0,1
413.0,1
414.0,1
415.0,1
416.0,1
417.0,1
418.0,1
419.0,1
420.0,1
421.0,1
422.0,1
423.0,1
424.0,1
425.0,1
426.0,1
427.0,1
428.0,1
429.0,1
430.0,1
431.0,1
432.0,1
433.0,1
434.0,1
435.0,1
436.0,1
437.0,1
438.0,1
439.0,0
