"tick","FlagC"
1.0,25
2.0,25
3.0,25
4.0,25
5.0,25
6.0,25
7.0,25
8.0,25
9.0,25
10.0,24
11.0,24
12.0,24
13.0,24
14.0,24
15.0,24
16.0,24
17.0,23
18.0,23
19.0,23
20.0,23
21.0,23
22.0,23
23.0,22
24.0,22
25.0,21
26.0,20
27.0,20
28.0,20
29.0,20
30.0,20
31.0,20
32.0,20
33.0,20
34.0,20
35.0,20
36.0,20
37.0,19
38.0,19
39.0,19
40.0,19
41.0,19
42.0,18
43.0,18
44.0,18
45.0,17
46.0,17
47.0,17
48.0,17
49.0,17
50.0,17
51.0,17
52.0,17
53.0,16
54.0,16
55.0,16
56.0,16
57.0,16
58.0,16
59.0,16
60.0,16
61.0,16
62.0,15
63.0,15
64.0,15
65.0,15
66.0,15
67.0,15
68.0,15
69.0,14
70.0,14
71.0,14
72.0,13
73.0,13
74.0,13
75.0,13
76.0,12
77.0,12
78.0,12
79.0,12
80.0,12
81.0,11
82.0,11
83.0,11
84.0,11
85.0,11
86.0,11
87.0,11
88.0,11
89.0,11
90.0,11
91.0,11
92.0,11
93.0,11
94.0,11
95.0,11
96.0,11
97.0,10
98.0,10
99.0,10
100.0,8
101.0,8
102.0,8
103.0,8
104.0,8
105.0,8
106.0,7
107.0,7
108.0,7
109.0,7
110.0,7
111.0,7
112.0,7
113.0,7
114.0,7
115.0,7
116.0,7
117.0,7
118.0,7
119.0,7
120.0,7
121.0,6
122.0,6
123.0,6
124.0,6
125.0,6
126.0,6
127.0,6
128.0,6
129.0,6
130.0,6
131.0,6
132.0,6
133.0,6
134.0,6
135.0,6
136.0,6
137.0,6
138.0,6
139.0,6
140.0,6
141.0,6
142.0,6
143.0,6
144.0,6
145.0,6
146.0,6
147.0,6
148.0,6
149.0,6
150.0,6
151.0,6
152.0,5
153.0,5
154.0,5
155.0,5
156.0,5
157.0,5
158.0,5
159.0,5
160.0,5
161.0,5
162.0,5
163.0,5
164.0,5
165.0,5
166.0,5
167.0,5
168.0,5
169.0,5
170.0,4
171.0,4
172.0,3
173.0,3
174.0,3
175.0,3
176.0,3
177.0,3
178.0,3
179.0,3
180.0,3
181.0,3
182.0,3
183.0,3
184.0,3
185.0,3
186.0,3
187.0,3
188.0,3
189.0,3
190.0,3
191.0,3
192.0,3
193.0,3
194.0,3
195.0,3
196.0,3
197.0,3
198.0,3
199.0,3
200.0,3
201.0,3
202.0,3
203.0,3
204.0,3
205.0,3
206.0,3
207.0,3
208.0,3
209.0,3
210.0,3
211.0,3
212.0,2
213.0,2
214.0,2
215.0,2
216.0,2
217.0,2
218.0,2
219.0,2
220.0,2
221.0,2
222.0,2
223.0,2
224.0,2
225.0,2
226.0,2
227.0,2
228.0,2
229.0,2
230.0,2
231.0,2
232.0,2
233.0,2
234.0,2
235.0,2
236.0,2
237.0,2
238.0,2
239.0,2
240.0,2
241.0,2
242.0,2
243.0,2
244.0,2
245.0,2
246.0,2
247.0,2
248.0,2
249.0,2
250.0,1
251.0,1
252.0,1
253.0,1
254.0,1
255.0,1
256.0,1
257.0,1
258.0,1
259.0,1
260.0,1
261.0,1
262.0,1
263.0,1
264.0,1
265.0,1
266.0,1
267.0,1
268.0,1
269.0,1
270.0,1
271.0,1
272.0,1
273.0,1
274.0,1
275.0,1
276.0,1
277.0,1
278.0,1
279.0,1
280.0,1
281.0,1
282.0,1
283.0,1
284.0,1
285.0,1
286.0,1
287.0,0
