"tick","FlagC"
1.0,25
2.0,24
3.0,24
4.0,24
5.0,24
6.0,24
7.0,24
8.0,23
9.0,23
10.0,23
11.0,23
12.0,22
13.0,22
14.0,22
15.0,22
16.0,22
17.0,22
18.0,21
19.0,21
20.0,21
21.0,21
22.0,21
23.0,21
24.0,21
25.0,21
26.0,21
27.0,21
28.0,21
29.0,21
30.0,20
31.0,20
32.0,20
33.0,20
34.0,20
35.0,20
36.0,20
37.0,20
38.0,20
39.0,20
40.0,19
41.0,19
42.0,19
43.0,19
44.0,19
45.0,18
46.0,18
47.0,18
48.0,17
49.0,17
50.0,17
51.0,17
52.0,17
53.0,17
54.0,17
55.0,17
56.0,17
57.0,17
58.0,17
59.0,17
60.0,17
61.0,16
62.0,16
63.0,16
64.0,16
65.0,16
66.0,16
67.0,16
68.0,15
69.0,15
70.0,15
71.0,15
72.0,15
73.0,15
74.0,15
75.0,15
76.0,14
77.0,14
78.0,14
79.0,14
80.0,14
81.0,14
82.0,13
83.0,13
84.0,13
85.0,13
86.0,13
87.0,13
88.0,13
89.0,13
90.0,13
91.0,13
92.0,13
93.0,13
94.0,13
95.0,13
96.0,13
97.0,13
98.0,13
99.0,13
100.0,13
101.0,13
102.0,13
103.0,13
104.0,12
105.0,12
106.0,12
107.0,12
108.0,12
109.0,12
110.0,12
111.0,12
112.0,12
113.0,12
114.0,11
115.0,11
116.0,11
117.0,11
118.0,11
119.0,11
120.0,11
121.0,10
122.0,10
123.0,10
124.0,10
125.0,10
126.0,10
127.0,10
128.0,10
129.0,10
130.0,10
131.0,10
132.0,10
133.0,10
134.0,10
135.0,10
136.0,10
137.0,9
138.0,9
139.0,9
140.0,9
141.0,9
142.0,9
143.0,9
144.0,8
145.0,7
146.0,7
147.0,7
148.0,7
149.0,7
150.0,7
151.0,7
152.0,7
153.0,7
154.0,7
155.0,7
156.0,7
157.0,7
158.0,7
159.0,7
160.0,7
161.0,7
162.0,7
163.0,7
164.0,7
165.0,7
166.0,7
167.0,7
168.0,7
169.0,7
170.0,7
171.0,7
172.0,7
173.0,7
174.0,7
175.0,7
176.0,6
177.0,6
178.0,6
179.0,6
180.0,6
181.0,6
182.0,6
183.0,6
184.0,6
185.0,6
186.0,6
187.0,6
188.0,6
189.0,6
190.0,6
191.0,6
192.0,6
193.0,6
194.0,6
195.0,6
196.0,6
197.0,6
198.0,6
199.0,6
200.0,6
201.0,6
202.0,6
203.0,6
204.0,6
205.0,6
206.0,6
207.0,6
208.0,6
209.0,6
210.0,6
211.0,6
