"run","tick","FlagC"
1,1.0,25
1,2.0,25
1,3.0,25
1,4.0,23
1,5.0,22
1,6.0,22
1,7.0,22
1,8.0,22
1,9.0,22
1,10.0,22
1,11.0,22
1,12.0,22
1,13.0,22
1,14.0,22
1,15.0,22
1,16.0,22
1,17.0,22
1,18.0,22
1,19.0,21
1,20.0,21
1,21.0,21
1,22.0,21
1,23.0,20
1,24.0,20
1,25.0,20
1,26.0,20
1,27.0,20
1,28.0,20
1,29.0,20
1,30.0,20
1,31.0,20
1,32.0,20
1,33.0,20
1,34.0,20
1,35.0,20
1,36.0,20
1,37.0,20
1,38.0,20
1,39.0,20
1,40.0,20
1,41.0,20
1,42.0,20
1,43.0,19
1,44.0,19
1,45.0,19
1,46.0,19
1,47.0,19
1,48.0,19
1,49.0,19
1,50.0,19
1,51.0,19
1,52.0,19
1,53.0,19
1,54.0,19
1,55.0,19
1,56.0,19
1,57.0,19
1,58.0,19
1,59.0,19
1,60.0,19
1,61.0,19
1,62.0,19
1,63.0,19
1,64.0,19
1,65.0,19
1,66.0,19
1,67.0,18
1,68.0,18
1,69.0,18
1,70.0,18
1,71.0,18
1,72.0,18
1,73.0,18
1,74.0,18
1,75.0,18
1,76.0,18
1,77.0,18
1,78.0,18
1,79.0,18
1,80.0,18
1,81.0,18
1,82.0,18
1,83.0,18
1,84.0,18
1,85.0,18
1,86.0,18
1,87.0,18
1,88.0,18
1,89.0,17
1,90.0,17
1,91.0,17
1,92.0,16
1,93.0,16
1,94.0,16
1,95.0,16
1,96.0,16
1,97.0,16
1,98.0,16
1,99.0,16
1,100.0,15
1,101.0,15
1,102.0,15
1,103.0,15
1,104.0,15
1,105.0,15
1,106.0,15
1,107.0,15
1,108.0,15
1,109.0,15
1,110.0,15
1,111.0,15
1,112.0,15
1,113.0,14
1,114.0,13
1,115.0,13
1,116.0,13
1,117.0,13
1,118.0,13
1,119.0,13
1,120.0,12
1,121.0,11
1,122.0,11
1,123.0,11
1,124.0,11
1,125.0,11
1,126.0,11
1,127.0,11
1,128.0,10
1,129.0,10
1,130.0,10
1,131.0,10
1,132.0,10
1,133.0,10
1,134.0,10
1,135.0,10
1,136.0,9
1,137.0,9
1,138.0,8
1,139.0,8
1,140.0,8
1,141.0,7
1,142.0,7
1,143.0,7
1,144.0,6
1,145.0,6
1,146.0,6
1,147.0,6
1,148.0,6
1,149.0,6
1,150.0,6
1,151.0,6
1,152.0,6
1,153.0,6
1,154.0,6
1,155.0,6
1,156.0,6
1,157.0,6
1,158.0,6
1,159.0,6
1,160.0,6
1,161.0,5
1,162.0,5
1,163.0,5
1,164.0,5
1,165.0,5
1,166.0,5
1,167.0,5
1,168.0,5
1,169.0,5
1,170.0,5
1,171.0,5
1,172.0,5
1,173.0,5
1,174.0,5
1,175.0,5
1,176.0,5
1,177.0,5
1,178.0,5
1,179.0,5
1,180.0,5
1,181.0,4
1,182.0,4
1,183.0,4
1,184.0,4
1,185.0,4
1,186.0,4
1,187.0,4
1,188.0,4
1,189.0,4
1,190.0,4
1,191.0,4
1,192.0,4
1,193.0,4
1,194.0,4
1,195.0,4
1,196.0,4
1,197.0,4
1,198.0,4
1,199.0,4
1,200.0,4
1,201.0,4
1,202.0,4
1,203.0,4
1,204.0,4
1,205.0,4
1,206.0,4
1,207.0,4
1,208.0,4
1,209.0,4
1,210.0,4
1,211.0,4
1,212.0,4
1,213.0,4
1,214.0,4
1,215.0,4
1,216.0,4
1,217.0,4
1,218.0,4
1,219.0,4
1,220.0,4
1,221.0,4
1,222.0,4
1,223.0,4
1,224.0,4
1,225.0,4
1,226.0,4
1,227.0,4
1,228.0,4
1,229.0,4
1,230.0,4
1,231.0,4
1,232.0,4
1,233.0,4
1,234.0,4
1,235.0,4
1,236.0,4
1,237.0,4
1,238.0,4
1,239.0,4
1,240.0,4
1,241.0,4
1,242.0,4
1,243.0,4
1,244.0,4
1,245.0,4
1,246.0,4
1,247.0,4
1,248.0,4
1,249.0,4
1,250.0,4
1,251.0,4
1,252.0,4
1,253.0,4
1,254.0,3
1,255.0,3
1,256.0,3
1,257.0,3
1,258.0,3
1,259.0,2
1,260.0,2
1,261.0,2
1,262.0,2
1,263.0,2
1,264.0,2
1,265.0,2
1,266.0,2
1,267.0,2
1,268.0,2
1,269.0,2
1,270.0,2
1,271.0,2
1,272.0,2
1,273.0,2
1,274.0,2
1,275.0,2
1,276.0,2
1,277.0,2
1,278.0,2
1,279.0,2
1,280.0,2
1,281.0,2
1,282.0,2
1,283.0,2
1,284.0,2
1,285.0,2
1,286.0,2
1,287.0,2
1,288.0,2
1,289.0,2
1,290.0,2
1,291.0,2
1,292.0,2
1,293.0,2
1,294.0,2
1,295.0,2
1,296.0,2
1,297.0,2
1,298.0,2
1,299.0,2
1,300.0,2
1,301.0,2
1,302.0,2
1,303.0,2
1,304.0,2
1,305.0,2
1,306.0,2
1,307.0,2
1,308.0,2
1,309.0,2
1,310.0,2
1,311.0,2
1,312.0,2
1,313.0,2
1,314.0,2
1,315.0,2
1,316.0,2
1,317.0,2
1,318.0,2
1,319.0,2
1,320.0,2
1,321.0,2
1,322.0,2
1,323.0,2
1,324.0,2
1,325.0,2
1,326.0,2
1,327.0,2
1,328.0,2
1,329.0,2
1,330.0,2
1,331.0,2
1,332.0,2
1,333.0,2
1,334.0,2
1,335.0,2
1,336.0,2
1,337.0,2
1,338.0,2
1,339.0,2
1,340.0,2
1,341.0,2
1,342.0,2
1,343.0,2
1,344.0,1
1,345.0,1
1,346.0,1
1,347.0,1
1,348.0,1
1,349.0,1
1,350.0,1
1,351.0,1
1,352.0,1
1,353.0,1
1,354.0,1
1,355.0,1
1,356.0,1
1,357.0,1
1,358.0,1
1,359.0,1
1,360.0,1
1,361.0,1
1,362.0,1
1,363.0,1
1,364.0,1
1,365.0,1
1,366.0,1
1,367.0,1
1,368.0,1
1,369.0,1
1,370.0,1
1,371.0,1
1,372.0,1
1,373.0,1
1,374.0,1
1,375.0,1
1,376.0,1
1,377.0,1
1,378.0,1
1,379.0,1
1,380.0,1
1,381.0,1
1,382.0,1
1,383.0,1
1,384.0,1
1,385.0,1
1,386.0,1
1,387.0,1
1,388.0,1
1,389.0,1
1,390.0,1
1,391.0,1
1,392.0,1
1,393.0,1
1,394.0,1
1,395.0,1
1,396.0,1
1,397.0,1
1,398.0,1
1,399.0,1
1,400.0,1
1,401.0,1
1,402.0,1
1,403.0,1
1,404.0,1
1,405.0,1
1,406.0,1
1,407.0,1
1,408.0,1
1,409.0,1
1,410.0,1
1,411.0,1
1,412.0,1
1,413.0,1
1,414.0,1
1,415.0,1
1,416.0,1
1,417.0,1
1,418.0,1
1,419.0,1
1,420.0,1
1,421.0,1
1,422.0,1
1,423.0,1
1,424.0,1
1,425.0,1
1,426.0,1
1,427.0,1
1,428.0,1
1,429.0,1
1,430.0,1
1,431.0,1
1,432.0,1
1,433.0,1
1,434.0,1
1,435.0,1
1,436.0,1
1,437.0,1
1,438.0,1
1,439.0,1
1,440.0,1
1,441.0,1
1,442.0,1
1,443.0,1
1,444.0,1
1,445.0,1
1,446.0,1
1,447.0,1
1,448.0,1
1,449.0,1
1,450.0,1
1,451.0,1
1,452.0,1
1,453.0,1
1,454.0,1
1,455.0,1
1,456.0,1
1,457.0,1
1,458.0,1
1,459.0,1
1,460.0,1
1,461.0,1
1,462.0,1
1,463.0,1
1,464.0,1
1,465.0,1
1,466.0,1
1,467.0,1
1,468.0,1
1,469.0,1
1,470.0,1
1,471.0,1
1,472.0,1
1,473.0,1
1,474.0,1
1,475.0,1
1,476.0,1
1,477.0,1
1,478.0,0
3,1.0,25
3,2.0,25
3,3.0,24
3,4.0,22
3,5.0,21
3,6.0,20
3,7.0,20
3,8.0,20
3,9.0,19
3,10.0,19
3,11.0,19
3,12.0,19
3,13.0,19
3,14.0,19
3,15.0,19
3,16.0,17
3,17.0,17
3,18.0,16
3,19.0,15
3,20.0,14
3,21.0,14
3,22.0,14
3,23.0,14
3,24.0,14
3,25.0,14
3,26.0,14
3,27.0,14
