"run","tick","FlagC"
1,1.0,24
1,2.0,23
1,3.0,23
1,4.0,23
1,5.0,23
1,6.0,23
1,7.0,23
1,8.0,22
1,9.0,22
1,10.0,21
1,11.0,21
1,12.0,19
1,13.0,18
1,14.0,18
1,15.0,17
1,16.0,17
1,17.0,17
1,18.0,17
1,19.0,17
1,20.0,16
1,21.0,16
1,22.0,15
1,23.0,15
1,24.0,15
1,25.0,15
1,26.0,15
1,27.0,15
1,28.0,15
1,29.0,14
1,30.0,14
1,31.0,14
1,32.0,14
1,33.0,13
1,34.0,13
1,35.0,13
1,36.0,13
1,37.0,13
1,38.0,13
1,39.0,12
1,40.0,12
1,41.0,12
1,42.0,12
1,43.0,12
1,44.0,12
1,45.0,12
1,46.0,12
1,47.0,12
1,48.0,12
1,49.0,12
1,50.0,12
1,51.0,12
1,52.0,12
1,53.0,12
1,54.0,12
1,55.0,12
1,56.0,12
1,57.0,12
1,58.0,12
1,59.0,12
1,60.0,12
1,61.0,11
1,62.0,11
1,63.0,11
1,64.0,11
1,65.0,10
1,66.0,10
1,67.0,10
1,68.0,10
1,69.0,10
1,70.0,10
1,71.0,10
1,72.0,10
1,73.0,10
1,74.0,10
1,75.0,10
1,76.0,10
1,77.0,10
1,78.0,10
1,79.0,10
1,80.0,10
1,81.0,10
1,82.0,9
1,83.0,9
1,84.0,9
1,85.0,9
1,86.0,9
1,87.0,9
1,88.0,9
1,89.0,9
1,90.0,9
1,91.0,9
1,92.0,9
1,93.0,9
1,94.0,9
1,95.0,9
1,96.0,9
1,97.0,9
1,98.0,9
1,99.0,9
1,100.0,9
1,101.0,9
1,102.0,9
1,103.0,9
1,104.0,9
1,105.0,9
1,106.0,9
1,107.0,9
1,108.0,9
1,109.0,9
1,110.0,9
1,111.0,9
1,112.0,9
1,113.0,9
1,114.0,9
1,115.0,9
1,116.0,9
1,117.0,8
1,118.0,8
1,119.0,8
1,120.0,8
1,121.0,8
1,122.0,8
1,123.0,8
1,124.0,8
1,125.0,8
1,126.0,8
1,127.0,8
1,128.0,8
1,129.0,8
1,130.0,8
1,131.0,8
1,132.0,7
1,133.0,7
1,134.0,7
1,135.0,7
1,136.0,7
1,137.0,7
1,138.0,7
1,139.0,7
1,140.0,7
1,141.0,7
1,142.0,7
1,143.0,7
1,144.0,7
1,145.0,7
1,146.0,7
1,147.0,7
1,148.0,7
1,149.0,7
1,150.0,7
1,151.0,7
1,152.0,7
1,153.0,6
1,154.0,6
1,155.0,6
1,156.0,6
1,157.0,6
1,158.0,6
1,159.0,6
1,160.0,6
1,161.0,6
1,162.0,6
1,163.0,6
1,164.0,5
1,165.0,5
1,166.0,5
1,167.0,5
1,168.0,5
1,169.0,5
1,170.0,5
1,171.0,5
1,172.0,5
1,173.0,5
1,174.0,5
1,175.0,5
1,176.0,5
1,177.0,5
1,178.0,5
1,179.0,5
1,180.0,5
1,181.0,5
1,182.0,5
1,183.0,5
1,184.0,5
1,185.0,5
1,186.0,5
1,187.0,5
1,188.0,5
1,189.0,5
1,190.0,5
1,191.0,5
1,192.0,5
1,193.0,5
1,194.0,5
1,195.0,5
1,196.0,5
1,197.0,5
1,198.0,5
1,199.0,5
1,200.0,5
1,201.0,5
1,202.0,5
1,203.0,5
1,204.0,5
1,205.0,5
1,206.0,5
1,207.0,5
1,208.0,5
1,209.0,5
1,210.0,5
1,211.0,5
1,212.0,5
1,213.0,5
1,214.0,5
1,215.0,5
1,216.0,5
1,217.0,5
1,218.0,5
1,219.0,5
1,220.0,5
1,221.0,5
1,222.0,5
1,223.0,5
1,224.0,5
1,225.0,5
1,226.0,5
1,227.0,5
1,228.0,5
1,229.0,5
1,230.0,5
1,231.0,5
1,232.0,5
1,233.0,5
1,234.0,5
1,235.0,5
1,236.0,5
1,237.0,5
1,238.0,5
1,239.0,5
1,240.0,5
1,241.0,5
1,242.0,5
1,243.0,5
1,244.0,5
1,245.0,5
1,246.0,5
1,247.0,5
1,248.0,5
1,249.0,5
1,250.0,5
1,251.0,5
1,252.0,5
1,253.0,5
1,254.0,5
1,255.0,5
1,256.0,5
1,257.0,5
1,258.0,5
1,259.0,5
1,260.0,5
1,261.0,5
1,262.0,5
1,263.0,5
1,264.0,5
1,265.0,5
1,266.0,5
1,267.0,5
1,268.0,5
1,269.0,5
1,270.0,5
1,271.0,5
1,272.0,5
1,273.0,5
1,274.0,5
1,275.0,5
1,276.0,4
1,277.0,4
1,278.0,4
1,279.0,4
1,280.0,4
1,281.0,4
1,282.0,4
1,283.0,4
1,284.0,4
1,285.0,4
1,286.0,4
1,287.0,4
1,288.0,4
1,289.0,4
1,290.0,4
1,291.0,4
1,292.0,4
1,293.0,4
1,294.0,4
1,295.0,4
1,296.0,4
1,297.0,4
1,298.0,4
1,299.0,3
1,300.0,3
1,301.0,3
1,302.0,3
1,303.0,3
1,304.0,3
1,305.0,3
1,306.0,3
1,307.0,3
1,308.0,3
1,309.0,3
1,310.0,3
1,311.0,2
1,312.0,2
1,313.0,2
1,314.0,2
1,315.0,2
1,316.0,2
1,317.0,2
1,318.0,2
1,319.0,2
1,320.0,2
1,321.0,2
1,322.0,2
1,323.0,2
1,324.0,2
1,325.0,2
1,326.0,2
1,327.0,2
1,328.0,2
1,329.0,2
1,330.0,2
1,331.0,2
1,332.0,2
1,333.0,2
1,334.0,2
1,335.0,2
1,336.0,2
1,337.0,2
1,338.0,2
1,339.0,2
1,340.0,2
1,341.0,2
